signal_id,first_seen,ticker,name,market,index,sector,kind,grade,status_at_signal,confirmed,stage,trend_score,stage2_readiness,stage4_readiness,mansfield_rs,sector_rs,rs_vs_sector,group_factor,regime,close_at_signal,trigger,stop,t1,t2,risk_pct,t1_r,signal_age_weeks,event_status,days_to_event,event_near_signal,rebalance_status,liquidity_status,adv_gbp,last_seen,weeks_tracked,last_close,high_since,low_since,triggered,triggered_on,stopped,stopped_on,hit_t1,hit_t1_on,r_peak,r_now,outcome,exc_4w,exc_13w,exc_26w
A@2026-08-17,2026-08-17,A,Agilent Technologies,US,SP500,Health Care,stage2_breakout,D,late,False,Stage 2,65.8,31.8,4.9,10.2455,-6.1583,21.001,0.88,Bull,159.0,152.5579,134.251,192.338,226.0164,12.0,2.17,0,event_ahead,9.0,False,,ok,202815921.3459651,2026-09-07,3.0,146.93,163.75,141.25,True,2026-08-17,False,,False,,0.61,-0.31,open,,,
AMP@2026-08-10,2026-08-17,AMP,Ameriprise Financial,US,SP500,Financials,stage2_breakout,D,late,False,Stage 2,56.7,51.8,5.4,5.573,-0.5291,6.2017,1.0,Bull,555.5900268554688,579.1848,509.6827,916.096,1190.9248,12.0,4.85,1,clear,73.0,False,,ok,210839430.8760489,2026-09-07,3.0,557.61,571.18,541.28,False,,False,,False,,,,watching,,,
AME@2026-08-03,2026-08-17,AME,Ametek,US,SP500,Industrials,stage2_breakout,D,live,False,Stage 2 to 3,15.0,31.0,25.2,1.2656,46.2778,-31.2764,0.88,Bull,239.5500030517578,264.0955,232.404,315.3104,358.6306,12.0,1.62,2,event_driven,73.0,True,,ok,198989991.5219914,2026-09-07,3.0,241.518,256.7059,229.2659,False,,False,,False,,,,watching,,,
AMGN@2026-08-17,2026-08-17,AMGN,Amgen,US,SP500,Health Care,stage2_breakout,D,late,False,Stage 2,79.6,26.9,5.7,19.4161,-6.1583,30.7164,0.88,Bull,439.3299865722656,424.7837,373.8097,523.4196,606.6837,12.0,1.94,0,clear,78.0,False,,ok,651679164.3251858,2026-09-07,3.0,377.35,447.03,377.22,True,2026-08-17,False,,False,,0.44,-0.93,open,,,
APTV@2026-08-03,2026-08-17,APTV,Aptiv,US,SP500,Consumer Discretionary,stage4_breakdown,C,late,True,Stage 4,-82.1,2.0,65.6,-38.4683,-2.7296,-31.9812,0.88,Bull,48.27999877929688,44.7116,50.077,18.464,1.154,12.0,4.89,2,event_driven,73.0,True,,ok,125442166.74187748,2026-09-07,3.0,45.54,50.51,43.83,True,2026-08-31,False,,False,,0.16,-0.15,open,,,
ADP@2026-08-17,2026-08-17,ADP,Automatic Data Processing,US,SP500,Industrials,stage2_breakout,D,late,False,Stage 2,59.2,33.3,3.2,5.1237,46.2778,-29.3068,0.88,Bull,280.8099975585937,284.255,250.1444,374.4368,449.5142,12.0,2.64,0,clear,72.0,False,,ok,459888138.3303366,2026-09-07,3.0,268.26,286.1685,264.1296,True,2026-08-24,False,,False,,0.06,-0.47,open,,,
BDX@2026-08-17,2026-08-17,BDX,Becton Dickinson,US,SP500,Health Care,stage2_breakout,D,late,False,Stage 2,72.4,33.5,3.6,13.2758,-6.1583,24.2839,0.88,Bull,192.0,187.8277,165.2883,230.53,266.698,12.0,1.89,0,clear,80.0,False,,ok,274855573.59610975,2026-09-07,3.0,177.85,191.9381,175.2,True,2026-08-17,False,,False,,0.18,-0.44,open,,,
BMY@2026-07-27,2026-08-17,BMY,Bristol Myers Squibb,US,SP500,Health Care,stage2_breakout,D,late,False,Stage 2,70.1,45.7,5.8,13.5584,-6.1583,24.2134,0.88,Bull,67.01000213623047,68.9317,60.6599,83.7882,96.3387,12.0,1.8,3,event_driven,73.0,True,,ok,440765538.5755711,2026-09-07,3.0,63.64,68.64,63.27,False,,False,,False,,,,watching,,,
CHRW@2026-07-27,2026-08-17,CHRW,C.H. Robinson,US,SP500,Industrials,stage4_breakdown,D,late,False,Stage 4,-68.7,2.3,52.7,-21.053,46.2778,-46.6268,0.88,Bull,141.6300048828125,139.3467,156.0683,75.99,22.254,12.0,3.79,3,event_driven,72.0,True,,ok,200250322.3781867,2026-09-07,3.0,152.78,155.0,140.6334,False,,False,,False,,,,watching,,,
SCHW@2026-08-17,2026-08-17,SCHW,Charles Schwab Corporation,US,SP500,Financials,stage2_breakout,D,late,False,Stage 2,63.7,48.4,8.6,7.2254,-0.5291,7.8531,1.0,Bull,112.3000030517578,112.3937,98.9064,138.6441,160.6154,12.0,1.95,0,clear,59.0,False,,ok,628907827.9091318,2026-09-07,3.0,107.25,114.53,106.09,True,2026-08-17,False,,False,,0.16,-0.38,open,,,
CMS@2026-08-17,2026-08-17,CMS,CMS Energy,US,SP500,Utilities,stage4_breakdown,D,live,False,Stage 3 to 4,-55.5,13.8,49.5,-14.0353,1.0772,-14.9296,0.88,Bull,68.2699966430664,67.4771,75.5744,57.4755,48.8247,12.0,1.24,0,clear,73.0,False,,ok,159657893.94497463,2026-09-07,3.0,67.15,72.44,67.0,True,2026-08-31,False,,False,,0.06,0.04,open,,,
COP@2026-08-17,2026-08-17,COP,ConocoPhillips,US,SP500,Energy,stage2_breakout,D,late,False,Stage 2,78.7,41.0,6.5,17.0228,-2.178,,1.0,Bull,134.8699951171875,135.945,119.6316,175.0167,207.8508,12.0,2.4,0,clear,80.0,False,,ok,638820130.7836596,2026-09-07,3.0,137.35,138.89,125.14,True,2026-08-31,False,,False,,0.18,0.09,open,,,
CPAY@2026-08-10,2026-08-17,CPAY,Corpay,US,SP500,Financials,stage2_breakout,D,late,False,Stage 2,77.3,55.0,3.7,17.6295,-0.5291,18.2184,1.0,Bull,417.1300048828125,432.2571,380.3863,570.74,686.572,12.0,2.67,1,event_driven,79.0,True,,ok,133076443.97978844,2026-09-07,3.0,408.22,427.46,401.52,False,,False,,False,,,,watching,,,
CTVA@2026-07-20,2026-08-17,CTVA,Corteva,US,SP500,Materials,stage2_breakout,D,live,False,Stage 1 to 2,4.4,26.0,27.8,0.448,-6.1583,10.0424,0.88,Bull,81.79000091552734,92.125,81.07,113.8307,132.1192,12.0,1.96,4,clear,78.0,False,,ok,225559235.1156684,2026-09-07,3.0,83.9,90.87,75.3045,False,,False,,False,,,,watching,,,
CRH@2026-07-27,2026-08-17,CRH,CRH plc,US,SP500,Materials,stage4_breakdown,C,late,True,Stage 4,-74.2,4.5,87.1,-22.9249,-6.1583,-15.1906,0.7,Bull,95.06999969482422,91.9161,102.946,59.0779,31.3448,12.0,2.98,3,event_driven,73.0,True,,ok,374320228.79583466,2026-09-07,3.0,88.55,98.19,86.84,True,2026-08-31,False,,False,,0.46,0.31,open,,,
DRI@2026-08-10,2026-08-17,DRI,Darden Restaurants,US,SP500,Consumer Discretionary,stage2_breakout,D,live,False,Stage 2,50.9,57.0,11.9,3.2326,-2.7296,13.1959,1.0,Bull,221.6000061035156,232.8837,204.9376,330.3994,410.9109,12.0,3.49,1,clear,38.0,False,,ok,169928255.59690952,2026-09-07,3.0,209.89,227.64,206.83,False,,False,,False,,,,watching,,,
